timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691366194167,794,HTTP Request-1,404,Not Found,ThreadLogin 1-10,text,false,,285641,122,6,6,https://www.daraz.com.bd/%20/,68,0,0
1691366194175,1037,HTTP Request,404,Not Found,ThreadLogin 1-11,text,false,,285978,243,7,7,https://www.daraz.com.bd/%20/,239,0,173
1691366194175,239,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-11,,true,,382,121,7,7,https://www.daraz.com.bd/%20,239,0,173
1691366194414,798,HTTP Request-1,404,Not Found,ThreadLogin 1-11,text,false,,285596,122,7,7,https://www.daraz.com.bd/%20/,68,0,0
1691366194666,586,HTTP Request,404,Not Found,ThreadLogin 1-9,text,false,,286023,243,7,7,https://www.daraz.com.bd/%20/,61,0,0
1691366194666,61,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-9,,true,,382,121,7,7,https://www.daraz.com.bd/%20,61,0,0
1691366194728,524,HTTP Request-1,404,Not Found,ThreadLogin 1-9,text,false,,285641,122,7,7,https://www.daraz.com.bd/%20/,84,0,0
1691366194424,1093,HTTP Request,404,Not Found,ThreadLogin 1-12,text,false,,286023,243,7,7,https://www.daraz.com.bd/%20/,241,0,181
1691366194424,241,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-12,,true,,382,121,7,7,https://www.daraz.com.bd/%20,241,0,181
1691366194665,852,HTTP Request-1,404,Not Found,ThreadLogin 1-12,text,false,,285641,122,7,7,https://www.daraz.com.bd/%20/,65,0,0
1691366194963,581,HTTP Request,404,Not Found,ThreadLogin 1-10,text,false,,286116,243,7,7,https://www.daraz.com.bd/%20/,63,0,0
1691366194963,63,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-10,,true,,382,121,7,7,https://www.daraz.com.bd/%20,63,0,0
1691366195027,517,HTTP Request-1,404,Not Found,ThreadLogin 1-10,text,false,,285734,122,7,7,https://www.daraz.com.bd/%20/,68,0,0
1691366194680,1037,HTTP Request,404,Not Found,ThreadLogin 1-13,text,false,,286023,243,7,7,https://www.daraz.com.bd/%20/,243,0,180
1691366194680,243,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-13,,true,,382,121,7,7,https://www.daraz.com.bd/%20,243,0,180
1691366194923,794,HTTP Request-1,404,Not Found,ThreadLogin 1-13,text,false,,285641,122,7,7,https://www.daraz.com.bd/%20/,69,0,0
1691366195213,581,HTTP Request,404,Not Found,ThreadLogin 1-11,text,false,,285978,243,7,7,https://www.daraz.com.bd/%20/,64,0,0
1691366195213,64,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-11,,true,,382,121,7,7,https://www.daraz.com.bd/%20,64,0,0
1691366195277,517,HTTP Request-1,404,Not Found,ThreadLogin 1-11,text,false,,285596,122,7,7,https://www.daraz.com.bd/%20/,67,0,0
1691366194926,1097,HTTP Request,404,Not Found,ThreadLogin 1-14,text,false,,285978,243,7,7,https://www.daraz.com.bd/%20/,243,0,180
1691366194926,243,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-14,,true,,382,121,7,7,https://www.daraz.com.bd/%20,243,0,180
1691366195170,853,HTTP Request-1,404,Not Found,ThreadLogin 1-14,text,false,,285596,122,7,7,https://www.daraz.com.bd/%20/,66,0,0
1691366195517,578,HTTP Request,404,Not Found,ThreadLogin 1-12,text,false,,286023,243,7,7,https://www.daraz.com.bd/%20/,62,0,0
1691366195517,62,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-12,,true,,382,121,7,7,https://www.daraz.com.bd/%20,62,0,0
1691366195579,516,HTTP Request-1,404,Not Found,ThreadLogin 1-12,text,false,,285641,122,7,7,https://www.daraz.com.bd/%20/,69,0,0
1691366195179,1088,HTTP Request,404,Not Found,ThreadLogin 1-15,text,false,,286155,243,7,7,https://www.daraz.com.bd/%20/,237,0,174
1691366195179,237,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-15,,true,,382,121,7,7,https://www.daraz.com.bd/%20,237,0,174
1691366195416,851,HTTP Request-1,404,Not Found,ThreadLogin 1-15,text,false,,285773,122,7,7,https://www.daraz.com.bd/%20/,70,0,0
1691366195718,571,HTTP Request,404,Not Found,ThreadLogin 1-13,text,false,,285978,243,7,7,https://www.daraz.com.bd/%20/,62,0,0
1691366195718,62,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-13,,true,,382,121,7,7,https://www.daraz.com.bd/%20,62,0,0
1691366195781,508,HTTP Request-1,404,Not Found,ThreadLogin 1-13,text,false,,285596,122,7,7,https://www.daraz.com.bd/%20/,65,0,0
1691366195679,701,HTTP Request,404,Not Found,ThreadLogin 1-17,text,false,,286023,243,6,6,https://www.daraz.com.bd/%20/,239,0,177
1691366195679,239,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-17,,true,,382,121,6,6,https://www.daraz.com.bd/%20,239,0,177
1691366195919,461,HTTP Request-1,404,Not Found,ThreadLogin 1-17,text,false,,285641,122,6,6,https://www.daraz.com.bd/%20/,68,0,0
1691366195427,978,HTTP Request,404,Not Found,ThreadLogin 1-16,text,false,,286023,243,6,6,https://www.daraz.com.bd/%20/,236,0,174
1691366195427,236,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-16,,true,,382,121,6,6,https://www.daraz.com.bd/%20,236,0,174
1691366195663,742,HTTP Request-1,404,Not Found,ThreadLogin 1-16,text,false,,285641,122,6,6,https://www.daraz.com.bd/%20/,69,0,0
1691366196023,577,HTTP Request,404,Not Found,ThreadLogin 1-14,text,false,,286023,243,7,7,https://www.daraz.com.bd/%20/,62,0,0
1691366196023,62,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-14,,true,,382,121,7,7,https://www.daraz.com.bd/%20,62,0,0
1691366196085,515,HTTP Request-1,404,Not Found,ThreadLogin 1-14,text,false,,285641,122,7,7,https://www.daraz.com.bd/%20/,65,0,0
1691366196381,416,HTTP Request,404,Not Found,ThreadLogin 1-17,text,false,,285978,243,6,6,https://www.daraz.com.bd/%20/,64,0,0
1691366196381,64,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-17,,true,,382,121,6,6,https://www.daraz.com.bd/%20,64,0,0
1691366196445,352,HTTP Request-1,404,Not Found,ThreadLogin 1-17,text,false,,285596,122,6,6,https://www.daraz.com.bd/%20/,67,0,0
1691366196268,581,HTTP Request,404,Not Found,ThreadLogin 1-15,text,false,,285978,243,5,5,https://www.daraz.com.bd/%20/,63,0,0
1691366196268,63,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-15,,true,,382,121,5,5,https://www.daraz.com.bd/%20,63,0,0
1691366196331,518,HTTP Request-1,404,Not Found,ThreadLogin 1-15,text,false,,285596,122,5,5,https://www.daraz.com.bd/%20/,66,0,0
1691366196405,524,HTTP Request,404,Not Found,ThreadLogin 1-16,text,false,,286023,243,4,4,https://www.daraz.com.bd/%20/,63,0,0
1691366196405,63,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-16,,true,,382,121,4,4,https://www.daraz.com.bd/%20,63,0,0
1691366196468,461,HTTP Request-1,404,Not Found,ThreadLogin 1-16,text,false,,285641,122,4,4,https://www.daraz.com.bd/%20/,67,0,0
1691366195928,1101,HTTP Request,404,Not Found,ThreadLogin 1-18,text,false,,286023,243,3,3,https://www.daraz.com.bd/%20/,238,0,173
1691366195928,238,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-18,,true,,382,121,3,3,https://www.daraz.com.bd/%20,238,0,173
1691366196166,863,HTTP Request-1,404,Not Found,ThreadLogin 1-18,text,false,,285641,122,3,3,https://www.daraz.com.bd/%20/,71,0,0
1691366196178,1059,HTTP Request,404,Not Found,ThreadLogin 1-19,text,false,,285978,243,3,3,https://www.daraz.com.bd/%20/,239,0,176
1691366196178,239,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-19,,true,,382,121,3,3,https://www.daraz.com.bd/%20,239,0,176
1691366196417,820,HTTP Request-1,404,Not Found,ThreadLogin 1-19,text,false,,285596,122,3,3,https://www.daraz.com.bd/%20/,81,0,0
1691366196429,1087,HTTP Request,404,Not Found,ThreadLogin 1-20,text,false,,285978,243,3,3,https://www.daraz.com.bd/%20/,234,0,172
1691366196429,234,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-20,,true,,382,121,3,3,https://www.daraz.com.bd/%20,234,0,172
1691366196663,853,HTTP Request-1,404,Not Found,ThreadLogin 1-20,text,false,,285596,122,3,3,https://www.daraz.com.bd/%20/,69,0,0
1691366197030,590,HTTP Request,404,Not Found,ThreadLogin 1-18,text,false,,285978,243,3,3,https://www.daraz.com.bd/%20/,63,0,0
1691366197030,63,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-18,,true,,382,121,3,3,https://www.daraz.com.bd/%20,63,0,0
1691366197094,526,HTTP Request-1,404,Not Found,ThreadLogin 1-18,text,false,,285596,122,3,3,https://www.daraz.com.bd/%20/,71,0,0
1691366197238,589,HTTP Request,404,Not Found,ThreadLogin 1-19,text,false,,285978,243,2,2,https://www.daraz.com.bd/%20/,65,0,0
1691366197238,65,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-19,,true,,382,121,2,2,https://www.daraz.com.bd/%20,65,0,0
1691366197304,523,HTTP Request-1,404,Not Found,ThreadLogin 1-19,text,false,,285596,122,2,2,https://www.daraz.com.bd/%20/,69,0,0
1691366197517,588,HTTP Request,404,Not Found,ThreadLogin 1-20,text,false,,286023,243,1,1,https://www.daraz.com.bd/%20/,63,0,0
1691366197517,63,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-20,,true,,382,121,1,1,https://www.daraz.com.bd/%20,63,0,0
1691366197581,524,HTTP Request-1,404,Not Found,ThreadLogin 1-20,text,false,,285641,122,1,1,https://www.daraz.com.bd/%20/,74,0,0
